frame,score
frame_000535.png,0.795571
frame_000536.png,0.724983
frame_000537.png,0.771505
frame_000538.png,0.787948
frame_000539.png,0.806690
frame_000540.png,0.759761
frame_000541.png,0.812569
frame_000542.png,0.799759
frame_000543.png,0.822988
frame_000544.png,0.758152
frame_000545.png,0.800965
frame_000546.png,0.814844
frame_000547.png,0.829809
frame_000548.png,0.770394
frame_000549.png,0.796348
frame_000550.png,0.805513
frame_000551.png,0.833985
frame_000552.png,0.773005
frame_000553.png,0.810694
frame_000554.png,0.836699
frame_000555.png,0.873889
frame_000556.png,0.807373
frame_000557.png,0.858374
frame_000558.png,0.867622
frame_000559.png,0.888426
frame_000560.png,0.819944
frame_000561.png,0.865156
frame_000562.png,0.884616
frame_000563.png,0.908733
frame_000564.png,0.865089
frame_000565.png,0.906495
frame_000566.png,0.918412
frame_000567.png,0.931699
frame_000568.png,0.876709
frame_000569.png,0.913557
frame_000570.png,0.922789
frame_000571.png,0.939223
frame_000572.png,0.889163
frame_000573.png,0.926040
frame_000574.png,0.954587
frame_000575.png,0.959273
frame_000576.png,0.912330
frame_000577.png,0.938719
frame_000578.png,0.941570
frame_000579.png,0.964888
frame_000580.png,0.928953
frame_000581.png,0.965702
frame_000582.png,0.977369
frame_000583.png,1.000012
frame_000584.png,0.932288
frame_000585.png,0.958621
frame_000586.png,0.960033
frame_000587.png,1.001049
frame_000588.png,0.926755
frame_000589.png,0.981468
frame_000590.png,0.999934
frame_000591.png,1.001437
frame_000592.png,0.938918
frame_000593.png,0.996752
frame_000594.png,1.001744
frame_000595.png,1.030394
frame_000596.png,0.938193
frame_000597.png,0.998067
frame_000598.png,1.000120
frame_000599.png,1.031265
frame_000600.png,0.961007
frame_000601.png,0.999057
frame_000602.png,0.999186
frame_000603.png,1.011507
frame_000604.png,0.939591
frame_000605.png,0.984290
frame_000606.png,0.994055
frame_000607.png,1.018088
frame_000608.png,0.956352
frame_000609.png,0.997440
frame_000610.png,1.015368
frame_000611.png,1.007560
frame_000612.png,0.963679
frame_000613.png,0.995008
frame_000614.png,1.023320
frame_000615.png,1.061669
frame_000616.png,1.012967
frame_000617.png,1.057733
frame_000618.png,1.076998
